Local time,Open,High,Low,Close,Volume
27.04.2020 05:00:00.000 GMT+0800,1.08242,1.08604,1.08116,1.08308,199474.59000000003
28.04.2020 05:00:00.000 GMT+0800,1.08308,1.08886,1.08099,1.08209,212852.2926
29.04.2020 05:00:00.000 GMT+0800,1.08204,1.08858,1.08188,1.08775,220094.87740000003
30.04.2020 05:00:00.000 GMT+0800,1.08792,1.09727,1.08332,1.09560,285881.30980000005
01.05.2020 05:00:00.000 GMT+0800,1.09564,1.10190,1.09348,1.09829,195733.57509999996
04.05.2020 05:00:00.000 GMT+0800,1.09755,1.09759,1.08959,1.09082,206134.1008
05.05.2020 05:00:00.000 GMT+0800,1.09082,1.09262,1.08262,1.08425,219579.8094
06.05.2020 05:00:00.000 GMT+0800,1.08425,1.08463,1.07821,1.07951,229503.1508
07.05.2020 05:00:00.000 GMT+0800,1.07948,1.08350,1.07667,1.08350,222504.89560000002
08.05.2020 05:00:00.000 GMT+0800,1.08350,1.08758,1.08153,1.08419,174451.24989999997
11.05.2020 05:00:00.000 GMT+0800,1.08287,1.08507,1.08010,1.08084,207857.95040000003
12.05.2020 05:00:00.000 GMT+0800,1.08084,1.08853,1.07846,1.08483,155676.23550000004
13.05.2020 05:00:00.000 GMT+0800,1.08483,1.08967,1.08118,1.08191,156874.12960000001
14.05.2020 05:00:00.000 GMT+0800,1.08190,1.08242,1.07751,1.08055,116336.71539999999
15.05.2020 05:00:00.000 GMT+0800,1.08055,1.08510,1.07892,1.08198,134653.3034
18.05.2020 05:00:00.000 GMT+0800,1.08155,1.09272,1.08001,1.09163,195707.2836
19.05.2020 05:00:00.000 GMT+0800,1.09163,1.09763,1.09024,1.09241,239698.254
20.05.2020 05:00:00.000 GMT+0800,1.09241,1.09992,1.09190,1.09803,215842.74120000002
21.05.2020 05:00:00.000 GMT+0800,1.09809,1.10086,1.09374,1.09524,212581.60009999998
22.05.2020 05:00:00.000 GMT+0800,1.09524,1.09539,1.08855,1.09063,190718.28930000003
25.05.2020 05:00:00.000 GMT+0800,1.08973,1.09147,1.08707,1.08983,112550.30140000003
26.05.2020 05:00:00.000 GMT+0800,1.08986,1.09960,1.08927,1.09826,223565.94410000002
27.05.2020 05:00:00.000 GMT+0800,1.09826,1.10311,1.09342,1.10078,339376.29939999996
28.05.2020 05:00:00.000 GMT+0800,1.10098,1.10937,1.09919,1.10782,288031.5182
29.05.2020 05:00:00.000 GMT+0800,1.10783,1.11452,1.10702,1.11071,341167.5628
