Local time,Open,High,Low,Close,Volume
27.04.2020 05:00:00.000 GMT+0800,1.08211,1.08602,1.08112,1.08286,204454.82760000002
28.04.2020 05:00:00.000 GMT+0800,1.08282,1.08884,1.08097,1.08186,214232.41580000005
29.04.2020 05:00:00.000 GMT+0800,1.08186,1.08856,1.08183,1.08724,216037.6051
30.04.2020 05:00:00.000 GMT+0800,1.08741,1.09726,1.08330,1.09539,287628.55189999996
01.05.2020 05:00:00.000 GMT+0800,1.09539,1.10187,1.09344,1.09777,195288.9336
04.05.2020 05:00:00.000 GMT+0800,1.09676,1.09736,1.08956,1.09058,218738.9784
05.05.2020 05:00:00.000 GMT+0800,1.09063,1.09258,1.08258,1.08377,231702.35030000002
06.05.2020 05:00:00.000 GMT+0800,1.08377,1.08456,1.07819,1.07930,243295.8837
07.05.2020 05:00:00.000 GMT+0800,1.07934,1.08339,1.07665,1.08331,232904.04
08.05.2020 05:00:00.000 GMT+0800,1.08340,1.08756,1.08151,1.08371,172159.1877
11.05.2020 05:00:00.000 GMT+0800,1.08265,1.08504,1.08005,1.08061,213421.74189999996
12.05.2020 05:00:00.000 GMT+0800,1.08059,1.08851,1.07843,1.08472,208817.5735
13.05.2020 05:00:00.000 GMT+0800,1.08475,1.08965,1.08116,1.08176,229573.0747
14.05.2020 05:00:00.000 GMT+0800,1.08176,1.08239,1.07748,1.08040,213507.68880000003
15.05.2020 05:00:00.000 GMT+0800,1.08042,1.08509,1.07888,1.08183,205052.6019
18.05.2020 05:00:00.000 GMT+0800,1.08088,1.09270,1.07999,1.09154,201086.1499
19.05.2020 05:00:00.000 GMT+0800,1.09155,1.09759,1.09021,1.09221,249931.14400000006
20.05.2020 05:00:00.000 GMT+0800,1.09219,1.09989,1.09186,1.09771,214430.10099999997
21.05.2020 05:00:00.000 GMT+0800,1.09769,1.10083,1.09371,1.09484,175101.84850000002
22.05.2020 05:00:00.000 GMT+0800,1.09472,1.09535,1.08852,1.08980,162130.25189999997
25.05.2020 05:00:00.000 GMT+0800,1.08956,1.09144,1.08706,1.08950,97996.43130000001
26.05.2020 05:00:00.000 GMT+0800,1.08950,1.09957,1.08919,1.09816,202117.31820000004
27.05.2020 05:00:00.000 GMT+0800,1.09812,1.10307,1.09340,1.10026,323507.2367
28.05.2020 05:00:00.000 GMT+0800,1.10024,1.10934,1.09916,1.10767,230033.97069999998
29.05.2020 05:00:00.000 GMT+0800,1.10767,1.11451,1.10698,1.11036,380449.85360000003
01.06.2020 05:00:00.000 GMT+0800,1.11129,1.11540,1.11004,1.11353,244746.6626
02.06.2020 05:00:00.000 GMT+0800,1.11353,1.11959,1.11151,1.11693,273133.1005
03.06.2020 05:00:00.000 GMT+0800,1.11690,1.12577,1.11667,1.12328,244113.37660000002
04.06.2020 05:00:00.000 GMT+0800,1.12325,1.13623,1.11947,1.13370,274067.7625
05.06.2020 05:00:00.000 GMT+0800,1.13367,1.13836,1.12784,1.12911,271855.157
08.06.2020 05:00:00.000 GMT+0800,1.12934,1.13198,1.12682,1.12937,200343.66460000005
09.06.2020 05:00:00.000 GMT+0800,1.12936,1.13638,1.12409,1.13395,236624.38430000003
10.06.2020 05:00:00.000 GMT+0800,1.13395,1.14224,1.13219,1.13729,249929.06629999998
11.06.2020 05:00:00.000 GMT+0800,1.13729,1.14036,1.12885,1.12989,300185.0817
12.06.2020 05:00:00.000 GMT+0800,1.12989,1.13405,1.12125,1.12550,311745.4696
15.06.2020 05:00:00.000 GMT+0800,1.12329,1.13324,1.12262,1.13228,291436.8465
16.06.2020 05:00:00.000 GMT+0800,1.13228,1.13532,1.12278,1.12631,236707.10020000004
17.06.2020 05:00:00.000 GMT+0800,1.12629,1.12939,1.12068,1.12432,248437.56109999996
18.06.2020 05:00:00.000 GMT+0800,1.12428,1.12613,1.11854,1.12055,235975.64069999996
19.06.2020 05:00:00.000 GMT+0800,1.12054,1.12542,1.11680,1.11759,239664.60189999998
22.06.2020 05:00:00.000 GMT+0800,1.11835,1.12698,1.11684,1.12597,180066.2664
23.06.2020 05:00:00.000 GMT+0800,1.12597,1.13486,1.12330,1.13074,238122.34230000002
24.06.2020 05:00:00.000 GMT+0800,1.13073,1.13257,1.12482,1.12503,231204.87480000002
25.06.2020 05:00:00.000 GMT+0800,1.12503,1.12597,1.11903,1.12170,234684.12150000004
26.06.2020 05:00:00.000 GMT+0800,1.12181,1.12393,1.11951,1.12170,175079.05190000002
29.06.2020 05:00:00.000 GMT+0800,1.12149,1.12879,1.12149,1.12410,179170.74770000004
30.06.2020 05:00:00.000 GMT+0800,1.12412,1.12619,1.11910,1.12336,196959.7751
01.07.2020 05:00:00.000 GMT+0800,1.12340,1.12751,1.11848,1.12507,186639.93899999998
02.07.2020 05:00:00.000 GMT+0800,1.12507,1.13026,1.12233,1.12388,184185.11049999998
03.07.2020 05:00:00.000 GMT+0800,1.12391,1.12518,1.12192,1.12464,146874.5163
06.07.2020 05:00:00.000 GMT+0800,1.12433,1.13454,1.12411,1.13089,142461.6754
07.07.2020 05:00:00.000 GMT+0800,1.13087,1.13325,1.12588,1.12727,161140.33959999998
08.07.2020 05:00:00.000 GMT+0800,1.12725,1.13518,1.12623,1.13293,164988.71140000003
09.07.2020 05:00:00.000 GMT+0800,1.13292,1.13706,1.12801,1.12846,199150.411
10.07.2020 05:00:00.000 GMT+0800,1.12845,1.13247,1.12547,1.12990,180567.1502
13.07.2020 05:00:00.000 GMT+0800,1.13039,1.13748,1.13008,1.13435,240740.0432
14.07.2020 05:00:00.000 GMT+0800,1.13431,1.14086,1.13251,1.13993,356993.2815
15.07.2020 05:00:00.000 GMT+0800,1.13990,1.14520,1.13910,1.14113,308569.0307
16.07.2020 05:00:00.000 GMT+0800,1.14113,1.14417,1.13704,1.13834,286760.4847
17.07.2020 05:00:00.000 GMT+0800,1.13832,1.14436,1.13756,1.14269,180941.2344
20.07.2020 05:00:00.000 GMT+0800,1.14084,1.14677,1.14023,1.14472,287644.34409999993
21.07.2020 05:00:00.000 GMT+0800,1.14472,1.15398,1.14228,1.15265,381991.7860999999
22.07.2020 05:00:00.000 GMT+0800,1.15268,1.16013,1.15068,1.15695,469647.1546
23.07.2020 05:00:00.000 GMT+0800,1.15693,1.16268,1.15403,1.15959,357670.2735
24.07.2020 05:00:00.000 GMT+0800,1.15959,1.16580,1.15812,1.16546,414395.3563
27.07.2020 05:00:00.000 GMT+0800,1.16430,1.17813,1.16413,1.17510,340905.59719999996
28.07.2020 05:00:00.000 GMT+0800,1.17512,1.17736,1.16987,1.17150,345127.89690000005
29.07.2020 05:00:00.000 GMT+0800,1.17148,1.18061,1.17118,1.17907,338594.79219999997
